target,hdf5_path,total_models,written_models,skipped_valid_models,failed_models,errors
2c0l,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/2c0l.hdf5,1336,1336,0,0,
2d5r,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/2d5r.hdf5,0,0,0,0,
2dvw,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/2dvw.hdf5,0,0,0,0,
2fhz,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/2fhz.hdf5,1224,1224,0,0,
2fju,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/2fju.hdf5,904,904,0,0,
2g2u,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/2g2u.hdf5,1247,1247,0,0,
2g77,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/2g77.hdf5,1339,1339,0,0,
2grn,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/2grn.hdf5,1323,1323,0,0,
2h7z,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/2h7z.hdf5,1159,1159,0,0,
2hla,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/2hla.hdf5,0,0,0,0,
2hle,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/2hle.hdf5,1125,1125,0,0,
2hrk,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/2hrk.hdf5,1400,1400,0,0,
2hsm,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/2hsm.hdf5,0,0,0,0,
2hth,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/2hth.hdf5,0,0,0,0,
2nz8,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/2nz8.hdf5,1322,1322,0,0,
2o3b,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/2o3b.hdf5,1330,1330,0,0,
2o8v,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/2o8v.hdf5,1283,1283,0,0,
2oob,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/2oob.hdf5,565,565,0,0,
2ot3,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/2ot3.hdf5,1301,1301,0,0,
2oul,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/2oul.hdf5,0,0,0,0,
2oza,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/2oza.hdf5,944,944,0,0,
2pe6,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/2pe6.hdf5,0,0,0,0,
2sic,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/2sic.hdf5,1263,1263,0,0,
2sni,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/2sni.hdf5,1154,1154,0,0,
2uuy,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/2uuy.hdf5,1339,1339,0,0,
2vdb,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/2vdb.hdf5,613,613,0,0,
2wmp,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/2wmp.hdf5,0,0,0,0,
2z0e,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/2z0e.hdf5,901,901,0,0,
3dgp,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/3dgp.hdf5,1448,1448,0,0,
3fpn,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/3fpn.hdf5,1339,1339,0,0,
3gfk,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/3gfk.hdf5,0,0,0,0,
3hw2,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/3hw2.hdf5,932,932,0,0,
3k9p,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/3k9p.hdf5,0,0,0,0,
3ona,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/3ona.hdf5,0,0,0,0,
3qc8,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/3qc8.hdf5,0,0,0,0,
3qhy,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/3qhy.hdf5,1214,1214,0,0,
3rcz,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/3rcz.hdf5,1356,1356,0,0,
3sgb,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/3sgb.hdf5,1304,1304,0,0,
3sgq,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/3sgq.hdf5,1328,1328,0,0,
3u82,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/3u82.hdf5,1127,1127,0,0,
3vz9,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/3vz9.hdf5,1414,1414,0,0,
3wdg,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/3wdg.hdf5,1345,1345,0,0,
3whq,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/3whq.hdf5,704,704,0,0,
3ygs,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/3ygs.hdf5,681,681,0,0,
4bi8,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/4bi8.hdf5,1274,1274,0,0,
4ct6,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/4ct6.hdf5,1223,1223,0,0,
4dbg,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/4dbg.hdf5,1327,1327,0,0,
4dhi,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/4dhi.hdf5,1313,1313,0,0,
4g6t,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/4g6t.hdf5,1275,1275,0,0,
4gi3,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/4gi3.hdf5,1372,1372,0,0,
4h5s,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/4h5s.hdf5,1347,1347,0,0,
4hwi,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/4hwi.hdf5,1329,1329,0,0,
4je3,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/4je3.hdf5,1021,1021,0,0,
4k12,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/4k12.hdf5,1353,1353,0,0,
4qjf,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/4qjf.hdf5,1109,1109,0,0,
4qlp,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/4qlp.hdf5,1260,1260,0,0,
4u1c,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/4u1c.hdf5,932,932,0,0,
4uzz,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/4uzz.hdf5,1341,1341,0,0,
4yii,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/4yii.hdf5,1329,1329,0,0,
5by8,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/5by8.hdf5,1262,1262,0,0,
5dmb,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/5dmb.hdf5,1348,1348,0,0,
5k7m,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/5k7m.hdf5,1221,1221,0,0,
5maw,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/5maw.hdf5,1297,1297,0,0,
5mu7,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/5mu7.hdf5,1145,1145,0,0,
5uq2,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/5uq2.hdf5,1215,1215,0,0,
5zrz,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/5zrz.hdf5,1331,1331,0,0,
6fud,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/6fud.hdf5,1321,1321,0,0,
6kp3,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/6kp3.hdf5,1232,1232,0,0,
6wg4,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/6wg4.hdf5,1272,1272,0,0,
6xod,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/6xod.hdf5,1348,1348,0,0,
6yxj,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/6yxj.hdf5,1301,1301,0,0,
6zbk,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/6zbk.hdf5,1373,1373,0,0,
7bxh,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/7bxh.hdf5,1177,1177,0,0,
7cei,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/7cei.hdf5,1299,1299,0,0,
7joe,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/7joe.hdf5,1287,1287,0,0,
7jxv,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/7jxv.hdf5,1344,1344,0,0,
8enf,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/8enf.hdf5,1205,1205,0,0,
